Membership Type,LongTrip,Lat,Long,Year,Month,Temp,TripCount,Month_Jan,Month_Feb,Month_Mar,Month_Apr,Month_May,Month_Jun,Month_Jul,Month_Aug,Month_Sep,Month_Oct,Month_Nov,Month_Dec
Local30,1,30.26458,-97.75716,2016,11,64.6,6,0,0,0,0,0,0,0,0,0,0,1,0
U.T. Student Membership,1,30.26979,-97.7308,2019,4,68.2,2,0,0,0,1,0,0,0,0,0,0,0,0
U.T. Student Membership,0,30.26539,-97.74801,2018,9,80.4,5,0,0,0,0,0,0,0,0,1,0,0,0
Local30,0,30.26204,-97.76143,2017,5,75.5,19,0,0,0,0,1,0,0,0,0,0,0,0
24 Hour Walk Up Pass,1,30.26386,-97.76365,2021,1,52.4,18,1,0,0,0,0,0,0,0,0,0,0,0
24-Hour Kiosk (Austin B-cycle),1,30.25116,-97.74908,2014,1,46.3,195,1,0,0,0,0,0,0,0,0,0,0,0
Student Membership,0,30.268999,-97.766563,2021,5,72.4,2,0,0,0,0,1,0,0,0,0,0,0,0
Weekender,0,30.28063,-97.73813,2016,9,80.5,10,0,0,0,0,0,0,0,0,1,0,0,0
24-Hour Kiosk (Austin B-cycle),0,30.25866,-97.74848,2014,1,46.3,99,1,0,0,0,0,0,0,0,0,0,0,0
Local30,0,30.25976,-97.74932,2018,3,64.7,37,0,0,1,0,0,0,0,0,0,0,0,0
Local30,1,30.25116,-97.74908,2018,2,55.5,1,0,1,0,0,0,0,0,0,0,0,0,0
Weekender,0,30.260241,-97.753822,2015,8,84.2,2,0,0,0,0,0,0,0,1,0,0,0,0
Local365,0,30.27633,-97.7412,2015,8,84.2,4,0,0,0,0,0,0,0,1,0,0,0,0
Walk Up,1,30.26011,-97.73829,2016,5,73.5,353,0,0,0,0,1,0,0,0,0,0,0,0
Local30,0,30.26498,-97.7466,2017,12,50.4,35,0,0,0,0,0,0,0,0,0,0,0,1
Explorer,0,30.2642,-97.73294,2015,3,58.2,9,0,0,1,0,0,0,0,0,0,0,0,0
Explorer,0,30.2642,-97.73294,2016,3,63.5,4,0,0,1,0,0,0,0,0,0,0,0,0
Explorer,0,30.26709,-97.73933,2015,8,84.2,3,0,0,0,0,0,0,0,1,0,0,0,0
Student Membership,1,30.28533,-97.74652,2021,4,65.2,58,0,0,0,1,0,0,0,0,0,0,0,0
U.T. Student Membership,1,30.26805,-97.7428,2019,7,84.2,3,0,0,0,0,0,0,1,0,0,0,0,0
Local365,0,30.26805,-97.7428,2017,3,67.4,89,0,0,1,0,0,0,0,0,0,0,0,0
Walk Up,1,30.2603,-97.71864,2017,3,67.4,55,0,0,1,0,0,0,0,0,0,0,0,0
Local30,0,30.26924,-97.73968,2015,12,55.2,38,0,0,0,0,0,0,0,0,0,0,0,1
Walk Up,1,30.25976,-97.74932,2015,10,71.9,213,0,0,0,0,0,0,0,0,0,1,0,0
Local365,1,30.28533,-97.74652,2019,9,85.3,4,0,0,0,0,0,0,0,0,1,0,0,0
Local365,1,30.26933,-97.74736,2019,11,56.8,3,0,0,0,0,0,0,0,0,0,0,1,0
Explorer,1,30.26256,-97.76215,2018,2,55.5,10,0,1,0,0,0,0,0,0,0,0,0,0
Walk Up,1,30.27206,-97.73866,2017,8,84.4,25,0,0,0,0,0,0,0,1,0,0,0,0
Local31,1,30.26708,-97.75014,2020,9,77.0,26,0,0,0,0,0,0,0,0,1,0,0,0
24 Hour Walk Up Pass,0,30.26805,-97.7428,2020,6,81.5,1,0,0,0,0,0,1,0,0,0,0,0,0
Weekender,0,30.26871,-97.72795,2016,1,49.3,10,1,0,0,0,0,0,0,0,0,0,0,0
U.T. Student Membership,0,30.264299,-97.744202,2019,3,58.6,4,0,0,1,0,0,0,0,0,0,0,0,0
Local30,0,30.26619,-97.743477,2015,4,69.5,99,0,0,0,1,0,0,0,0,0,0,0,0
Walk Up,0,30.26011,-97.73829,2015,4,69.5,121,0,0,0,1,0,0,0,0,0,0,0,0
24-Hour Kiosk (Austin B-cycle),0,30.260241,-97.753822,2014,3,56.7,252,0,0,1,0,0,0,0,0,0,0,0,0
Walk Up,1,30.25578,-97.73991,2016,3,63.5,572,0,0,1,0,0,0,0,0,0,0,0,0
Local30,0,30.26979,-97.7308,2018,5,79.2,5,0,0,0,0,1,0,0,0,0,0,0,0
U.T. Student Membership,1,30.26993,-97.74212,2018,11,55.8,13,0,0,0,0,0,0,0,0,0,0,1,0
Explorer,0,30.28533,-97.74652,2020,9,77.0,2,0,0,0,0,0,0,0,0,1,0,0,0
Local365,0,30.27691,-97.75156,2015,6,79.1,22,0,0,0,0,0,1,0,0,0,0,0,0
Weekender,0,30.26836,-97.73651,2017,6,83.4,19,0,0,0,0,0,1,0,0,0,0,0,0
Local31,0,30.25527,-97.71635,2021,2,47.4,17,0,1,0,0,0,0,0,0,0,0,0,0
24 Hour Walk Up Pass,0,30.26386,-97.76365,2021,4,65.2,5,0,0,0,1,0,0,0,0,0,0,0,0
Local365,1,30.25527,-97.71635,2018,10,69.5,4,0,0,0,0,0,0,0,0,0,1,0,0
Local365,0,30.26993,-97.74212,2016,6,82.0,71,0,0,0,0,0,1,0,0,0,0,0,0
Weekender,1,30.25116,-97.74908,2016,7,86.4,5,0,0,0,0,0,0,1,0,0,0,0,0
Local30,0,30.26204,-97.76143,2017,6,83.4,19,0,0,0,0,0,1,0,0,0,0,0,0
Weekender,0,30.26979,-97.7308,2016,1,49.3,8,1,0,0,0,0,0,0,0,0,0,0,0
Explorer,0,30.26396,-97.73363,2018,4,64.8,2,0,0,0,1,0,0,0,0,0,0,0,0
Weekender,0,30.26719,-97.74695,2016,6,82.0,6,0,0,0,0,0,1,0,0,0,0,0,0
Weekender,0,30.25218,-97.7487,2017,12,50.4,3,0,0,0,0,0,0,0,0,0,0,0,1
Local365,1,30.27631,-97.74476,2019,5,77.3,2,0,0,0,0,1,0,0,0,0,0,0,0
Explorer,1,30.2642,-97.73294,2015,6,79.1,1,0,0,0,0,0,1,0,0,0,0,0,0
Local31,1,30.28533,-97.74652,2020,9,77.0,8,0,0,0,0,0,0,0,0,1,0,0,0
24-Hour Kiosk (Austin B-cycle),1,30.23949,-97.76535,2014,8,85.4,142,0,0,0,0,0,0,0,1,0,0,0,0
Local365,1,30.28365,-97.73955,2020,8,87.0,15,0,0,0,0,0,0,0,1,0,0,0,0
Explorer,1,30.26871,-97.72795,2018,12,52.5,2,0,0,0,0,0,0,0,0,0,0,0,1
Local365,1,30.26871,-97.72795,2015,3,58.2,13,0,0,1,0,0,0,0,0,0,0,0,0
Explorer,0,30.25218,-97.7487,2018,2,55.5,3,0,1,0,0,0,0,0,0,0,0,0,0
Local365,1,30.26976,-97.75316,2021,5,72.4,31,0,0,0,0,1,0,0,0,0,0,0,0
Explorer,1,30.25578,-97.73991,2019,9,85.3,21,0,0,0,0,0,0,0,0,1,0,0,0
Local365,1,30.27267,-97.74083,2018,6,85.4,7,0,0,0,0,0,1,0,0,0,0,0,0
Local31,0,30.26235,-97.72452,2021,7,80.8,37,0,0,0,0,0,0,1,0,0,0,0,0
Explorer,1,30.26458,-97.75716,2019,10,69.8,22,0,0,0,0,0,0,0,0,0,1,0,0
Local30,0,30.25891,-97.74624,2016,10,73.3,7,0,0,0,0,0,0,0,0,0,1,0,0
24-Hour Kiosk (Austin B-cycle),1,30.26074,-97.75784,2014,7,82.8,483,0,0,0,0,0,0,1,0,0,0,0,0
Explorer,0,30.28347,-97.73743,2022,1,47.2,2,1,0,0,0,0,0,0,0,0,0,0,0
Explorer,0,30.24892,-97.74992,2021,10,71.4,4,0,0,0,0,0,0,0,0,0,1,0,0
Student Membership,0,30.26476,-97.73152,2021,10,71.4,3,0,0,0,0,0,0,0,0,0,1,0,0
U.T. Student Membership,0,30.26396,-97.73363,2019,11,56.8,1,0,0,0,0,0,0,0,0,0,0,1,0
Explorer,1,30.26235,-97.72452,2021,1,52.4,10,1,0,0,0,0,0,0,0,0,0,0,0
Local30,0,30.27691,-97.75156,2016,8,83.0,8,0,0,0,0,0,0,0,1,0,0,0,0
Local365,0,30.27646,-97.7719,2018,3,64.7,16,0,0,1,0,0,0,0,0,0,0,0,0
Walk Up,0,30.26619,-97.743477,2015,3,58.2,383,0,0,1,0,0,0,0,0,0,0,0,0
24 Hour Walk Up Pass,0,30.26386,-97.76365,2020,2,52.5,1,0,1,0,0,0,0,0,0,0,0,0,0
Explorer,1,30.26396,-97.73363,2016,9,80.5,2,0,0,0,0,0,0,0,0,1,0,0,0
U.T. Student Membership,0,30.26539,-97.74801,2018,10,69.5,11,0,0,0,0,0,0,0,0,0,1,0,0
Weekender,0,30.25116,-97.74908,2017,4,70.7,24,0,0,0,1,0,0,0,0,0,0,0,0
Explorer,0,30.27267,-97.74083,2017,4,70.7,11,0,0,0,1,0,0,0,0,0,0,0,0
Local30,1,30.2598,-97.72341,2015,12,55.2,2,0,0,0,0,0,0,0,0,0,0,0,1
Weekender,1,30.26924,-97.73968,2016,1,49.3,12,1,0,0,0,0,0,0,0,0,0,0,0
Local30,0,30.27646,-97.7719,2016,5,73.5,10,0,0,0,0,1,0,0,0,0,0,0,0
Local365,0,30.25627,-97.71013,2016,9,80.5,36,0,0,0,0,0,0,0,0,1,0,0,0
U.T. Student Membership,1,30.28365,-97.73955,2020,6,81.5,2,0,0,0,0,0,1,0,0,0,0,0,0
Weekender,1,30.25578,-97.73991,2017,7,86.9,29,0,0,0,0,0,0,1,0,0,0,0,0
24 Hour Walk Up Pass,0,30.26619,-97.743477,2019,11,56.8,5,0,0,0,0,0,0,0,0,0,0,1,0
U.T. Student Membership,1,30.28585,-97.74182,2018,4,64.8,252,0,0,0,1,0,0,0,0,0,0,0,0
Local365,0,30.25891,-97.74624,2017,11,63.9,18,0,0,0,0,0,0,0,0,0,0,1,0
Local30,1,30.25218,-97.7487,2016,11,64.6,6,0,0,0,0,0,0,0,0,0,0,1,0
Local365,0,30.27267,-97.74083,2017,12,50.4,25,0,0,0,0,0,0,0,0,0,0,0,1
Local30,0,30.2598,-97.72341,2019,2,56.0,3,0,1,0,0,0,0,0,0,0,0,0,0
U.T. Student Membership,1,30.25527,-97.71635,2018,4,64.8,6,0,0,0,1,0,0,0,0,0,0,0,0
Weekender,0,30.26933,-97.74736,2018,1,46.6,5,1,0,0,0,0,0,0,0,0,0,0,0
U.T. Student Membership,1,30.25891,-97.74624,2018,10,69.5,10,0,0,0,0,0,0,0,0,0,1,0,0
Local365,0,30.26979,-97.7308,2017,2,63.7,100,0,1,0,0,0,0,0,0,0,0,0,0
Explorer,0,30.26204,-97.76143,2015,7,83.1,2,0,0,0,0,0,0,1,0,0,0,0,0
Local365,0,30.26719,-97.74695,2016,8,83.0,158,0,0,0,0,0,0,0,1,0,0,0,0
Local30,0,30.26708,-97.75014,2015,1,46.0,9,1,0,0,0,0,0,0,0,0,0,0,0
Local31,1,30.29058,-97.7429,2021,12,62.7,145,0,0,0,0,0,0,0,0,0,0,0,1
U.T. Student Membership,1,30.27206,-97.73866,2018,3,64.7,22,0,0,1,0,0,0,0,0,0,0,0,0
Explorer,0,30.26871,-97.72795,2017,3,67.4,1,0,0,1,0,0,0,0,0,0,0,0,0
Local30,1,30.26836,-97.73651,2015,5,74.0,1,0,0,0,0,1,0,0,0,0,0,0,0
Local30,1,30.27267,-97.74083,2018,5,79.2,1,0,0,0,0,1,0,0,0,0,0,0,0
Walk Up,0,30.23949,-97.76535,2015,10,71.9,118,0,0,0,0,0,0,0,0,0,1,0,0
Local365,0,30.23949,-97.76535,2018,8,86.6,81,0,0,0,0,0,0,0,1,0,0,0,0
24 Hour Walk Up Pass,0,30.24251,-97.71755,2019,6,82.3,1,0,0,0,0,0,1,0,0,0,0,0,0
Explorer,0,30.27486,-97.76484,2020,10,69.6,2,0,0,0,0,0,0,0,0,0,1,0,0
Local30,0,30.26458,-97.75716,2016,5,73.5,45,0,0,0,0,1,0,0,0,0,0,0,0
U.T. Student Membership,0,30.25627,-97.71013,2019,4,68.2,1,0,0,0,1,0,0,0,0,0,0,0,0
Weekender,1,30.26768,-97.74147,2018,7,86.2,6,0,0,0,0,0,0,1,0,0,0,0,0
Walk Up,0,30.26836,-97.73651,2018,4,64.8,51,0,0,0,1,0,0,0,0,0,0,0,0
Local365,1,30.27631,-97.74476,2018,7,86.2,3,0,0,0,0,0,0,1,0,0,0,0,0
Local365,0,30.24892,-97.74992,2015,12,55.2,16,0,0,0,0,0,0,0,0,0,0,0,1
24 Hour Walk Up Pass,1,30.268999,-97.766563,2021,6,80.3,84,0,0,0,0,0,1,0,0,0,0,0,0
Local30,1,30.23949,-97.76535,2015,7,83.1,11,0,0,0,0,0,0,1,0,0,0,0,0
Walk Up,0,30.28382,-97.74196,2017,7,86.9,2,0,0,0,0,0,0,1,0,0,0,0,0
Explorer,1,30.28668,-97.7448,2021,6,80.3,6,0,0,0,0,0,1,0,0,0,0,0,0
24 Hour Walk Up Pass,1,30.28365,-97.73955,2020,10,69.6,8,0,0,0,0,0,0,0,0,0,1,0,0
Walk Up,0,30.27972,-97.74232,2016,9,80.5,21,0,0,0,0,0,0,0,0,1,0,0,0
Walk Up,0,30.26933,-97.74736,2017,11,63.9,23,0,0,0,0,0,0,0,0,0,0,1,0
Walk Up,0,30.25976,-97.74932,2018,3,64.7,70,0,0,1,0,0,0,0,0,0,0,0,0
Walk Up,0,30.25866,-97.74848,2015,7,83.1,84,0,0,0,0,0,0,1,0,0,0,0,0
Local31,1,30.26686,-97.74945,2021,4,65.2,19,0,0,0,1,0,0,0,0,0,0,0,0
Weekender,0,30.28063,-97.73813,2015,9,80.5,11,0,0,0,0,0,0,0,0,1,0,0,0
Local365,1,30.26768,-97.74147,2020,4,67.2,1,0,0,0,1,0,0,0,0,0,0,0,0
Walk Up,1,30.268999,-97.766563,2017,5,75.5,656,0,0,0,0,1,0,0,0,0,0,0,0
Local365,1,30.25976,-97.74932,2018,2,55.5,16,0,1,0,0,0,0,0,0,0,0,0,0
Walk Up,1,30.26458,-97.75716,2018,6,85.4,333,0,0,0,0,0,1,0,0,0,0,0,0
Local31,1,30.26933,-97.74736,2021,1,52.4,20,1,0,0,0,0,0,0,0,0,0,0,0
24-Hour Kiosk (Austin B-cycle),0,30.27088,-97.74559,2014,6,81.8,16,0,0,0,0,0,1,0,0,0,0,0,0
Walk Up,0,30.25218,-97.7487,2017,3,67.4,64,0,0,1,0,0,0,0,0,0,0,0,0
Local365,1,30.26539,-97.74801,2017,3,67.4,51,0,0,1,0,0,0,0,0,0,0,0,0
U.T. Student Membership,0,30.26976,-97.75316,2018,2,55.5,5,0,1,0,0,0,0,0,0,0,0,0,0
Local30,1,30.26256,-97.76215,2017,1,55.4,2,1,0,0,0,0,0,0,0,0,0,0,0
Local365,0,30.26709,-97.73933,2017,4,70.7,19,0,0,0,1,0,0,0,0,0,0,0,0
Local365,1,30.2425,-97.71722,2020,2,52.5,15,0,1,0,0,0,0,0,0,0,0,0,0
Walk Up,1,30.25792,-97.73911,2015,7,83.1,125,0,0,0,0,0,0,1,0,0,0,0,0
Local365,0,30.26709,-97.73933,2019,1,50.1,3,1,0,0,0,0,0,0,0,0,0,0,0
U.T. Student Membership,0,30.27267,-97.74083,2019,4,68.2,2,0,0,0,1,0,0,0,0,0,0,0,0
Explorer,1,30.2642,-97.73294,2015,11,61.0,1,0,0,0,0,0,0,0,0,0,0,1,0
24-Hour Kiosk (Austin B-cycle),1,30.27329,-97.73821,2014,8,85.4,68,0,0,0,0,0,0,0,1,0,0,0,0
U.T. Student Membership,1,30.26933,-97.74736,2018,10,69.5,17,0,0,0,0,0,0,0,0,0,1,0,0
24 Hour Walk Up Pass,0,30.24892,-97.74992,2021,11,58.4,9,0,0,0,0,0,0,0,0,0,0,1,0
Walk Up,0,30.24892,-97.74992,2017,12,50.4,10,0,0,0,0,0,0,0,0,0,0,0,1
Walk Up,0,30.24892,-97.74992,2015,1,46.0,16,1,0,0,0,0,0,0,0,0,0,0,0
Explorer,1,30.26836,-97.73651,2017,1,55.4,2,1,0,0,0,0,0,0,0,0,0,0,0
Local30,0,30.25218,-97.7487,2017,10,68.7,35,0,0,0,0,0,0,0,0,0,1,0,0
Explorer,0,30.28382,-97.74196,2015,2,49.2,4,0,1,0,0,0,0,0,0,0,0,0,0
Local31,1,30.2425,-97.71722,2021,5,72.4,56,0,0,0,0,1,0,0,0,0,0,0,0
Explorer,0,30.26871,-97.72795,2015,12,55.2,1,0,0,0,0,0,0,0,0,0,0,0,1
Local30,0,30.27206,-97.73866,2017,6,83.4,15,0,0,0,0,0,1,0,0,0,0,0,0
Walk Up,1,30.27646,-97.7719,2017,11,63.9,300,0,0,0,0,0,0,0,0,0,0,1,0
Walk Up,0,30.26686,-97.74945,2015,2,49.2,1,0,1,0,0,0,0,0,0,0,0,0,0
Local30,0,30.26011,-97.73829,2016,3,63.5,78,0,0,1,0,0,0,0,0,0,0,0,0
U.T. Student Membership,0,30.27329,-97.73821,2019,4,68.2,7,0,0,0,1,0,0,0,0,0,0,0,0
Local365,0,30.26873,-97.74521,2016,3,63.5,52,0,0,1,0,0,0,0,0,0,0,0,0
Weekender,1,30.26933,-97.74736,2016,7,86.4,4,0,0,0,0,0,0,1,0,0,0,0,0
Local365,1,30.26709,-97.73933,2016,5,73.5,2,0,0,0,0,1,0,0,0,0,0,0,0
Weekender,1,30.24329,-97.72277,2017,9,78.3,25,0,0,0,0,0,0,0,0,1,0,0,0
Explorer,0,30.26204,-97.76143,2019,5,77.3,2,0,0,0,0,1,0,0,0,0,0,0,0
Walk Up,0,30.26204,-97.76143,2015,10,71.9,177,0,0,0,0,0,0,0,0,0,1,0,0
Local30,0,30.26539,-97.74801,2015,9,80.5,105,0,0,0,0,0,0,0,0,1,0,0,0
24 Hour Walk Up Pass,0,30.24251,-97.71755,2019,10,69.8,6,0,0,0,0,0,0,0,0,0,1,0,0
Explorer,1,30.24892,-97.74992,2021,4,65.2,34,0,0,0,1,0,0,0,0,0,0,0,0
Local30,1,30.27267,-97.74083,2016,6,82.0,6,0,0,0,0,0,1,0,0,0,0,0,0
Walk Up,1,30.25627,-97.71013,2017,5,75.5,8,0,0,0,0,1,0,0,0,0,0,0,0
Student Membership,1,30.27486,-97.76484,2021,6,80.3,9,0,0,0,0,0,1,0,0,0,0,0,0
U.T. Student Membership,1,30.26924,-97.73968,2018,6,85.4,14,0,0,0,0,0,1,0,0,0,0,0,0
Local365,1,30.26871,-97.72795,2016,9,80.5,19,0,0,0,0,0,0,0,0,1,0,0,0
24 Hour Walk Up Pass,1,30.24329,-97.72277,2020,6,81.5,27,0,0,0,0,0,1,0,0,0,0,0,0
Student Membership,0,30.26805,-97.7428,2021,10,71.4,16,0,0,0,0,0,0,0,0,0,1,0,0
Local30,0,30.25891,-97.74624,2017,1,55.4,10,1,0,0,0,0,0,0,0,0,0,0,0
Local365,1,30.2603,-97.71864,2018,2,55.5,15,0,1,0,0,0,0,0,0,0,0,0,0
24 Hour Walk Up Pass,0,30.26993,-97.74212,2018,10,69.5,3,0,0,0,0,0,0,0,0,0,1,0,0
Explorer,1,30.26498,-97.7466,2018,10,69.5,2,0,0,0,0,0,0,0,0,0,1,0,0
U.T. Student Membership,0,30.26686,-97.74945,2020,9,77.0,1,0,0,0,0,0,0,0,0,1,0,0,0
Local365,1,30.25893,-97.71469,2018,9,80.4,10,0,0,0,0,0,0,0,0,1,0,0,0
Explorer,1,30.26976,-97.75316,2015,4,69.5,6,0,0,0,1,0,0,0,0,0,0,0,0
Local365,0,30.26204,-97.76143,2017,10,68.7,55,0,0,0,0,0,0,0,0,0,1,0,0
Local30,1,30.26709,-97.73933,2017,2,63.7,2,0,1,0,0,0,0,0,0,0,0,0,0
Explorer,1,30.26979,-97.7308,2017,9,78.3,3,0,0,0,0,0,0,0,0,1,0,0,0
Explorer,1,30.26498,-97.7466,2018,8,86.6,4,0,0,0,0,0,0,0,1,0,0,0,0
Weekender,0,30.27972,-97.74232,2015,10,71.9,5,0,0,0,0,0,0,0,0,0,1,0,0
Weekender,1,30.26836,-97.73651,2018,5,79.2,32,0,0,0,0,1,0,0,0,0,0,0,0
24 Hour Walk Up Pass,1,30.28382,-97.74196,2020,12,52.4,4,0,0,0,0,0,0,0,0,0,0,0,1
Local365,1,30.28668,-97.7448,2020,4,67.2,9,0,0,0,1,0,0,0,0,0,0,0,0
Explorer,0,30.26836,-97.73651,2017,9,78.3,2,0,0,0,0,0,0,0,0,1,0,0,0
Explorer,1,30.25116,-97.74908,2020,12,52.4,3,0,0,0,0,0,0,0,0,0,0,0,1
24 Hour Walk Up Pass,1,30.28382,-97.74196,2022,1,47.2,2,1,0,0,0,0,0,0,0,0,0,0,0
Explorer,0,30.24892,-97.74992,2015,4,69.5,3,0,0,0,1,0,0,0,0,0,0,0,0
24-Hour Kiosk (Austin B-cycle),1,30.260241,-97.753822,2014,5,73.0,261,0,0,0,0,1,0,0,0,0,0,0,0
Student Membership,0,30.27486,-97.76484,2021,12,62.7,14,0,0,0,0,0,0,0,0,0,0,0,1
Walk Up,1,30.27267,-97.74083,2014,12,53.3,157,0,0,0,0,0,0,0,0,0,0,0,1
U.T. Student Membership,1,30.26993,-97.74212,2019,9,85.3,2,0,0,0,0,0,0,0,0,1,0,0,0
Walk Up,1,30.28063,-97.73813,2017,1,55.4,72,1,0,0,0,0,0,0,0,0,0,0,0
Walk Up,1,30.25116,-97.74908,2015,9,80.5,172,0,0,0,0,0,0,0,0,1,0,0,0
Weekender,0,30.27329,-97.73821,2015,10,71.9,1,0,0,0,0,0,0,0,0,0,1,0,0
Local365,1,30.25893,-97.71469,2015,7,83.1,8,0,0,0,0,0,0,1,0,0,0,0,0
Local365,0,30.26539,-97.74801,2017,3,67.4,126,0,0,1,0,0,0,0,0,0,0,0,0
Local30,0,30.26933,-97.74736,2019,4,68.2,1,0,0,0,1,0,0,0,0,0,0,0,0
Weekender,1,30.26993,-97.74212,2016,11,64.6,5,0,0,0,0,0,0,0,0,0,0,1,0
Walk Up,1,30.26993,-97.74212,2018,1,46.6,41,1,0,0,0,0,0,0,0,0,0,0,0
24 Hour Walk Up Pass,1,30.24892,-97.74992,2020,1,54.8,11,1,0,0,0,0,0,0,0,0,0,0,0
Local30,0,30.25893,-97.71469,2017,1,55.4,2,1,0,0,0,0,0,0,0,0,0,0,0
Walk Up,0,30.24892,-97.74992,2018,4,64.8,40,0,0,0,1,0,0,0,0,0,0,0,0
Explorer,0,30.27329,-97.73821,2019,1,50.1,1,1,0,0,0,0,0,0,0,0,0,0,0
Explorer,1,30.26708,-97.75014,2017,9,78.3,2,0,0,0,0,0,0,0,0,1,0,0,0
Local30,0,30.25893,-97.71469,2017,5,75.5,31,0,0,0,0,1,0,0,0,0,0,0,0
Walk Up,1,30.26979,-97.7308,2017,12,50.4,17,0,0,0,0,0,0,0,0,0,0,0,1
Local31,1,30.26458,-97.75716,2021,12,62.7,19,0,0,0,0,0,0,0,0,0,0,0,1
Local365,0,30.26396,-97.73363,2020,11,63.2,4,0,0,0,0,0,0,0,0,0,0,1,0
Local365,0,30.28668,-97.7448,2019,7,84.2,9,0,0,0,0,0,0,1,0,0,0,0,0
U.T. Student Membership,1,30.28347,-97.73743,2021,9,78.9,9,0,0,0,0,0,0,0,0,1,0,0,0
Local365,0,30.26498,-97.7466,2016,10,73.3,299,0,0,0,0,0,0,0,0,0,1,0,0
Walk Up,1,30.26396,-97.73363,2017,4,70.7,84,0,0,0,1,0,0,0,0,0,0,0,0
Local30,0,30.26719,-97.74695,2016,7,86.4,27,0,0,0,0,0,0,1,0,0,0,0,0
Local30,0,30.27267,-97.74083,2015,11,61.0,8,0,0,0,0,0,0,0,0,0,0,1,0
U.T. Student Membership,1,30.28978,-97.74026,2019,12,52.6,6,0,0,0,0,0,0,0,0,0,0,0,1
Weekender,1,30.2642,-97.73294,2016,5,73.5,6,0,0,0,0,1,0,0,0,0,0,0,0
U.T. Student Membership,1,30.24892,-97.74992,2018,12,52.5,5,0,0,0,0,0,0,0,0,0,0,0,1
Local31,0,30.28978,-97.74026,2021,1,52.4,7,1,0,0,0,0,0,0,0,0,0,0,0
Weekender,0,30.26993,-97.74212,2016,11,64.6,5,0,0,0,0,0,0,0,0,0,0,1,0
Explorer,0,30.26979,-97.7308,2016,1,49.3,4,1,0,0,0,0,0,0,0,0,0,0,0
Local31,1,30.26686,-97.74945,2021,2,47.4,15,0,1,0,0,0,0,0,0,0,0,0,0
